id,Success,Elapsed_time
191,False,2.361311912536621
191,True,1.9901843070983887
191,False,1.3864214420318604
83,False,1.0456600189208984
227,False,2.5128300189971924
80,False,0.9624366760253906
188,False,2.2985920906066895
81,False,0.9204118251800537
219,False,2.321928024291992
79,True,0.6418540477752686
79,True,2.37218976020813
79,True,0.38146090507507324
79,True,0.24621009826660156
79,True,0.20044517517089844
50,False,0.907059907913208
46,True,1.1110620498657227
46,True,1.0729529857635498
46,True,1.1579649448394775
46,True,0.8763132095336914
46,True,0.9770939350128174
79,True,0.8879518508911133
79,True,0.7530629634857178
79,True,0.5615780353546143
152,False,1.0357239246368408
236,False,1.2785332202911377
103,False,1.6259291172027588
34,False,1.7720630168914795
79,False,0.9667937755584717

79,True,1.6897211074829102
79,True,0.40485095977783203
79,True,0.34688377380371094
79,True,0.5612242221832275
79,True,0.5164201259613037

79,True,0.97894287109375
79,True,0.989710807800293
79,False,1.405850887298584

7,False,4.767399072647095
7,True,2.8072900772094727
7,True,4.886616945266724
7,True,1.6389601230621338
7,True,1.6630280017852783
7,True,2.023084878921509
7,True,0.5987157821655273

232,False,3.6365039348602295
232,True,1.182569980621338

112,False,5.628665924072266
112,False,3.606451988220215
112,False,2.5430238246917725

162,True,7.183653831481934
162,False,2.190202236175537

209,False,1.6289658546447754
44,False,2.4467408657073975

176,False,4.38574481010437
76,False,3.095662832260132
218,False,3.9272923469543457
41,False,4.153291940689087
137,False,2.479840040206909
90,False,3.383652925491333
144,False,2.583606719970703
11,True,2.311652898788452
189,False,2.335331916809082
197,False,4.401970148086548
158,False,3.6153039932250977
220,False,3.9370107650756836
219,True,2.799349069595337
80,False,5.575238227844238
273,False,5.677696943283081
104,True,2.239675998687744
48,False,5.103938102722168
199,False,5.829838037490845

149,False,7.738701105117798
57,False,6.815203666687012
69,False,6.073466062545776
17,False,3.813218116760254
243,False,4.161669969558716
26,False,2.5761659145355225
221,False,3.634708881378174
38,False,6.211035251617432
225,False,2.1256277561187744
71,False,7.0555198192596436
14,False,3.5779359340667725
84,True,3.2287049293518066
0,False,2.0587148666381836
209,True,5.616660833358765
136,False,3.622246742248535
172,False,3.4763588905334473

152,False,7.349157810211182
44,True,4.228564977645874
59,True,2.2949419021606445

198,True,2.941021203994751
121,False,3.2849926948547363
59,True,1.372220754623413
119,True,4.533124923706055
86,False,4.57814621925354
155,False,1.7571542263031006
260,False,2.711416006088257
79,False,11.182521104812622
183,True,3.2839250564575195

17,True,6.441447734832764
219,False,5.388811111450195

50,False,7.49859094619751
41,False,3.4321250915527344
100,False,2.913459300994873
223,True,4.882509708404541
278,False,1.9457652568817139

105,False,15.107072114944458
132,True,2.5758628845214844
110,False,6.941181182861328
228,True,4.2635111808776855

38,False,10.819967985153198
191,False,6.704894065856934
103,False,4.049699068069458
32,False,2.8799240589141846

259,False,2.8330318927764893
18,False,6.266202926635742
273,False,5.005851745605469
135,True,5.917474031448364

177,False,2.642033815383911
15,False,4.49991512298584
61,False,5.704392910003662
260,True,2.9597690105438232

109,False,7.029876947402954
140,True,2.315673828125
234,False,7.55990195274353
278,False,3.0597290992736816

163,True,2.5401909351348877
46,False,4.635470867156982
55,False,4.691277027130127
98,False,3.3528189659118652

95,False,3.99240779876709
116,False,5.6590049266815186
